Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Isaiah Ford,MIA,10,28,276,9.86,27.6,18,0,18,44,73
Jalen Guyton,LAC,16,28,511,18.25,31.9,72t,3,18,55,179
Duke Johnson,HOU,11,28,249,8.89,22.6,48,1,8,35,220
Ronald Jones II,TB,14,28,165,5.89,11.8,37t,1,2,42,157
Cole Kmet,CHI,16,28,243,8.68,15.2,38,2,12,44,136
James O'Shaughnessy,JAX,15,28,262,9.36,17.5,26,0,12,38,94
Tony Pollard,DAL,16,28,193,6.89,12.1,30,1,9,40,232
Kyle Rudolph,MIN,12,28,334,11.93,27.8,25,1,16,37,164
Miles Sanders,PHI,12,28,197,7.04,16.4,28,0,8,52,208
Steven Sims,WAS,12,27,265,9.81,22.1,30,1,13,37,126
Isaiah Wright,WAS,14,27,197,7.3,14.1,22,0,10,35,140
Jordan Reed,SF,10,26,231,8.88,23.1,26,4,16,46,84
Henry Ruggs,LV,13,26,452,17.38,34.8,72t,2,13,43,145
Durham Smythe,MIA,15,26,208,8,13.9,19,2,13,29,122
Rex Burkhead,NE,10,25,192,7.68,19.2,24t,3,11,33,207
Kenyan Drake,ARI,15,25,137,5.48,9.1,18,0,5,31,144
Todd Gurley,ATL,15,25,164,6.56,10.9,26,0,7,35,120
Brian Hill,ATL,16,25,199,7.96,12.4,26,0,7,30,162
Jacob Hollister,SEA,16,25,209,8.36,13.1,20,3,14,40,80
Boston Scott,PHI,16,25,212,8.48,13.2,18t,1,8,36,181
Harrison Bryant,CLE,15,24,238,9.92,15.9,35,3,14,38,117
Will Dissly,SEA,16,24,251,10.46,15.7,28,2,12,29,169
Dawson Knox,BUF,12,24,288,12,24,36,3,14,44,160
Greg Olsen,SEA,11,24,239,9.96,21.7,22,1,16,37,49
Richard Rodgers,PHI,14,24,345,14.38,24.6,33t,2,16,31,95
Odell Beckham Jr.,CLE,7,23,319,13.87,45.6,43t,3,17,43,46
Malcolm Brown,LA,16,23,162,7.04,10.1,30,0,9,33,178
Jack Doyle,IND,14,23,251,10.91,17.9,28,3,13,33,91
DaeSean Hamilton,DEN,16,23,293,12.74,18.3,40t,2,16,44,95
Adam Humphries,TEN,7,23,228,9.91,32.6,23,2,11,35,42
Richie James,SF,11,23,394,17.13,35.8,47,1,14,35,188
Joshua Kelley,LAC,14,23,148,6.43,10.6,35,0,9,23,173
Denzel Mims,NYJ,9,23,357,15.52,39.7,30,0,15,44,106
Latavius Murray,NO,15,23,176,7.65,11.7,25,1,8,26,198
Marquez Callaway,NO,11,21,213,10.14,19.4,27,0,10,27,58
Julian Edelman,NE,6,21,315,15,52.5,49,0,18,39,64
Darren Fells,HOU,16,21,312,14.86,19.5,44t,4,16,28,177
Wayne Gallman,NYG,15,21,114,5.43,7.6,19,0,6,27,100
Andy Isabella,ARI,13,21,224,10.67,17.2,54,2,10,35,82
Joe Mixon,CIN,6,21,138,6.57,23,19,1,5,26,167
Cordarrelle Patterson,CHI,16,21,132,6.29,8.2,25,0,7,25,114
Chad Beebe,MIN,14,20,201,10.05,14.4,40t,2,12,30,73
Quintez Cephus,DET,13,20,349,17.45,26.9,49t,2,16,35,85
Devin Duvernay,BAL,16,20,201,10.05,12.6,39,0,8,26,118
Kenny Golladay,DET,5,20,338,16.9,67.6,48,2,16,32,38
Deonte Harris,NO,9,20,186,9.3,20.7,40,1,10,25,132
Tyron Johnson,LAC,12,20,398,19.9,33.2,55,3,15,26,59
Ray Ray McCloud,PIT,16,20,77,3.85,4.8,13,0,4,22,105
Ian Thomas,CAR,16,20,145,7.25,9.1,21,1,11,31,78
Chris Thompson,JAX,8,20,146,7.3,18.2,15,1,5,23,107
Olamide Zaccheaus,ATL,11,20,274,13.7,24.9,51t,1,16,32,63
Miles Boykin,BAL,16,19,266,14,16.6,43t,4,14,33,84
Tyler Conklin,MIN,16,19,194,10.21,12.1,30,1,11,26,126
Ross Dwelley,SF,16,19,245,12.89,15.3,36,1,10,24,107
Derrick Henry,TEN,16,19,114,6,7.1,53,0,4,31,127
Justin Jackson,LAC,9,19,173,9.11,19.2,34,0,7,24,204
Van Jefferson,LA,16,19,220,11.58,13.8,31,1,11,31,46
Kerryon Johnson,DET,16,19,187,9.84,11.7,20,1,11,26,183
Kyle Juszczyk,SF,16,19,202,10.63,12.6,41,4,10,29,101
Dion Lewis,NYG,16,19,127,6.68,7.9,17,1,8,30,80
David Njoku,CLE,13,19,213,11.21,16.4,28,2,13,29,82
Jalen Richard,LV,13,19,138,7.26,10.6,19,0,5,23,97
J.K. Dobbins,BAL,15,18,120,6.67,8,19,0,4,24,129
Marvin Hall,DET/CLE,12,18,302,16.78,25.2,73,2,10,32,58
Dontrelle Inman,WAS,10,18,163,9.06,16.3,17t,2,11,28,44
Collin Johnson,JAX,14,18,272,15.11,19.4,46t,2,12,31,84
Kaden Smith,NYG,15,18,112,6.22,7.5,16,0,8,21,89
Darrel Williams,KC,16,18,116,6.44,7.2,15,0,6,26,151
Preston Williams,MIA,8,18,288,16,36,47,4,14,35,42
Devontae Booker,LV,16,17,84,4.94,5.2,17,0,2,21,81
DeeJay Dallas,SEA,12,17,111,6.53,9.2,13,1,5,20,110
Chad Hansen,HOU,5,17,236,13.88,47.2,38t,1,12,24,36
Christian McCaffrey,CAR,3,17,149,8.76,49.7,24,1,8,19,123
Mohamed Sanu,SF/DET,10,17,187,11,18.7,21,1,13,24,37
Ito Smith,ATL,14,17,75,4.41,5.4,17,0,3,26,81
Jeff Smith,NYJ,12,17,167,9.82,13.9,21,0,9,37,49
Cedrick Wilson,DAL,16,17,189,11.12,11.8,42t,2,10,28,113
Le'Veon Bell,NYJ/KC,11,16,138,8.63,12.6,30,0,7,20,136
Nick Chubb,CLE,12,16,150,9.38,12.5,26,0,6,18,133
Frank Gore,NYJ,15,16,89,5.56,5.9,9,0,3,19,73
Darrell Henderson,LA,15,16,159,9.94,10.6,28,1,8,24,160
Mack Hollins,MIA,16,16,176,11,11,34,1,7,25,29
Carlos Hyde,SEA,10,16,93,5.81,9.3,18,0,4,20,108
Ty Johnson,DET/NYJ,13,16,99,6.19,7.6,18t,1,6,21,132
Raheem Mostert,SF,8,16,156,9.75,19.5,76t,1,5,19,136
KeeSean Johnson,ARI,8,15,173,11.53,21.6,45,0,7,23,50
LeSean McCoy,TB,10,15,101,6.73,10.1,15,0,3,19,97
Vance McDonald,PIT,14,15,99,6.6,7.1,15,0,4,20,79
Adam Trautman,NO,15,15,171,11.4,11.4,41,1,9,16,117
Nick Boyle,BAL,9,14,113,8.07,12.6,21,2,8,17,41
Noah Brown,DAL,16,14,154,11,9.6,20,0,6,24,47
Pharaoh Brown,HOU,13,14,163,11.64,12.5,29,2,9,16,76
Chris Hogan,NYJ,5,14,118,8.43,23.6,27,0,6,26,36
DeSean Jackson,PHI,5,14,236,16.86,47.2,81t,1,10,26,65
Jesse James,DET,16,14,129,9.21,8.1,31,2,6,22,73
Marcus Johnson,IND,11,14,255,18.21,23.2,55,0,11,28,49
Olabisi Johnson,MIN,16,14,189,13.5,11.8,29,0,9,19,57
Zay Jones,LV,16,14,154,11,9.6,37,1,6,20,65
Zack Moss,BUF,13,14,95,6.79,7.3,20,1,5,18,87
Donovan Peoples-Jones,CLE,12,14,304,21.71,25.3,75t,2,10,20,77
Auden Tate,CIN,9,14,150,10.71,16.7,19,0,9,22,58
Nick Vannett,DEN,15,14,95,6.79,6.3,19,1,6,21,64
Jamal Agnew,DET,14,13,89,6.85,6.4,20,0,4,20,101
Christian Blake,ATL,16,13,141,10.85,8.8,25,0,6,18,26
Ryan Izzo,NE,12,13,199,15.31,16.6,50,0,6,20,68
Alexander Mattison,MIN,13,13,125,9.62,9.6,28t,1,5,15,108
Byron Pringle,KC,13,13,160,12.31,12.3,37,1,9,17,68
Freddie Swain,SEA,16,13,159,12.23,9.9,23,2,6,21,101
Mike Thomas,CIN,14,13,132,10.15,9.4,29,1,7,21,28
Jeffery Wilson,SF,12,13,133,10.23,11.1,21t,3,8,28,111
Jason Witten,LV,16,13,69,5.31,4.3,15,2,8,17,20
Cameron Batson,TEN,12,12,100,8.33,8.3,18,1,7,13,43
Alex Erickson,CIN,16,12,139,11.58,8.7,42,0,5,17,63
Royce Freeman,DEN,16,12,81,6.75,5.1,28,0,4,13,63
Alec Ingold,LV,16,12,110,9.17,6.9,23,1,9,17,88
Tyler Johnson,TB,14,12,169,14.08,12.1,35,2,9,17,72
Tyler Kroft,BUF,10,12,119,9.92,11.9,38,3,9,16,44
Jeremy McNichols,TEN,16,12,55,4.58,3.4,9,0,0,17,51
Adrian Peterson,DET,16,12,101,8.42,6.3,23,0,4,18,103
Brandon Powell,ATL,15,12,69,5.75,4.6,13,2,5,18,34
