RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK
296,10,Teddy Bridgewater,DEN,QB34,11
297,10,Josh Lambo,JAC,K22,7
298,10,Arizona Cardinals,ARI,DST24,12
299,10,Devontae Booker,NYG,RB84,10
300,10,Dallas Cowboys,DAL,DST25,7
301,10,Kyle Rudolph,NYG,TE34,10
302,10,Scotty Miller,TB,WR103,9
303,10,Zane Gonzalez,FA,K23,-
304,10,Stephen Gostkowski,TEN,K24,13
305,10,Nico Collins,HOU,WR104,10
306,10,Drew Lock,DEN,QB35,11
307,10,Jacksonville Jaguars,JAC,DST26,7
308,10,Austin Seibert,CIN,K25,10
309,10,Keelan Cole Sr.,NYJ,WR105,6
310,10,Atlanta Falcons,ATL,DST27,6
311,10,Donovan Peoples-Jones,CLE,WR106,13
312,10,Andy Isabella,ARI,WR107,12
313,10,Graham Gano,NYG,K26,10
314,10,Ian Thomas,CAR,TE35,13
315,10,Matt Gay,LAR,K27,11
316,10,Duke Johnson Jr.,FA,RB85,-
317,11,D'Wayne Eskridge,SEA,WR108,9
318,11,Jalen Richard,LV,RB86,8
319,11,Samaje Perine,CIN,RB87,10
320,11,Greg Ward,PHI,WR109,14
321,11,Rex Burkhead,HOU,RB88,10
322,11,DeeJay Dallas,SEA,RB89,9
323,11,Miles Boykin,BAL,WR110,8
324,11,Tyrod Taylor,HOU,QB36,10
325,11,Ito Smith,ATL,RB90,6
326,11,Jordan Howard,PHI,RB91,14
327,11,Kalen Ballage,PIT,RB92,7
328,11,Dan Bailey,FA,K28,-
329,11,Dyami Brown,WAS,WR111,9
330,11,John Ross,NYG,WR112,10
331,11,Dalton Schultz,DAL,TE36,7
332,11,Brian Hill,TEN,RB93,13
333,11,Adrian Peterson,DET,RB94,9
334,11,Demarcus Robinson,KC,WR113,12
335,11,Mo Alie-Cox,IND,TE37,14
336,11,Justice Hill,BAL,RB95,8
337,11,Houston Texans,HOU,DST28,10
338,11,Eno Benjamin,ARI,RB96,12
339,11,Carolina Panthers,CAR,DST29,13
340,11,Jordan Akins,HOU,TE38,10
341,11,Donald Parham Jr.,LAC,TE39,7
342,11,Will Dissly,SEA,TE40,9
343,11,Mac Jones,NE,QB37,14
344,11,Lynn Bowden Jr.,MIA,WR114,14
345,11,David Njoku,CLE,TE41,13
346,11,Byron Pringle,KC,WR115,12
347,11,Jalen Guyton,LAC,WR116,7
348,11,Pat Freiermuth,PIT,TE42,7
349,11,Jermar Jefferson,DET,RB97,9
350,11,Steven Sims Jr.,WAS,WR117,9
351,11,Jordan Wilkins,IND,RB98,14
352,11,Ryquell Armstead,NYG,RB99,10
353,11,Golden Tate,FA,WR118,-
354,11,Andy Dalton,CHI,QB38,10
355,11,Cairo Santos,CHI,K29,10
356,11,Harrison Bryant,CLE,TE43,13
357,11,Tyler Eifert,JAC,TE44,7
358,11,Sam Sloman,TEN,K30,13
359,11,Chris Thompson,JAC,RB100,7
360,11,C.J. Uzomah,CIN,TE45,10
361,11,Mike Boone,DEN,RB101,11
362,11,Cordarrelle Patterson,ATL,WR119,6
363,11,Elijah Mitchell,SF,RB102,6
364,11,Albert Okwuegbunam,DEN,TE46,11
365,11,Olamide Zaccheaus,ATL,WR120,6
366,11,Josh Palmer,LAC,WR121,7
367,11,Larry Fitzgerald,ARI,WR122,12
368,11,Dede Westbrook,JAC,WR123,7
369,11,Drew Sample,CIN,TE47,10
370,11,Peyton Barber,WAS,RB103,9
371,11,Tutu Atwell,LAR,WR124,11
372,11,Dez Fitzpatrick,TEN,WR125,13
373,11,Tyler Johnson,TB,WR126,9
374,11,Cody Parkey,CLE,K31,13
375,11,Bryce Love,WAS,RB104,9
376,11,Royce Freeman,DEN,RB105,11
377,11,Marquez Callaway,NO,WR127,6
378,11,Larry Rountree III,LAC,RB106,7
379,11,Danny Amendola,DET,WR128,9
380,11,Tylan Wallace,BAL,WR129,8
381,11,Devin Duvernay,BAL,WR130,8
382,11,Qadree Ollison,ATL,RB107,6
383,12,Jacob Hollister,BUF,TE48,7
384,12,Antonio Gandy-Golden,WAS,WR131,9
385,12,Kylin Hill,GB,RB108,13
386,12,Chris Conley,HOU,WR132,10
387,12,David Moore,CAR,WR133,13
388,12,Chris Evans,CIN,RB109,10
389,12,Collin Johnson,JAC,WR134,7
390,12,Brevin Jordan,HOU,TE49,10
391,12,Adam Humphries,WAS,WR135,9
392,12,Las Vegas Raiders,LV,DST30,8
393,12,Auden Tate,CIN,WR136,10
394,12,Alshon Jeffery,FA,WR137,-
395,12,Randy Bullock,DET,K32,9
396,12,Cornell Powell,KC,WR138,12
397,12,Cameron Brate,TB,TE50,9
398,12,Cam Sims,WAS,WR139,9
399,12,Jalen Hurd,SF,WR140,6
400,12,Jordan Love,GB,QB39,13
401,12,Detroit Lions,DET,DST31,9
402,12,Anthony Schwartz,CLE,WR141,13
403,12,Deonte Harris,NO,WR142,6
404,12,Willie Snead IV,LV,WR143,8
405,12,Geoff Swaim,TEN,TE51,13
406,12,Tyler Conklin,MIN,TE52,7
407,12,Cincinnati Bengals,CIN,DST32,10
408,12,Evan McPherson,CIN,K33,10
409,12,Devine Ozigbo,JAC,RB110,7
410,12,Trayveon Williams,CIN,RB111,10
411,12,Olabisi Johnson,MIN,WR144,7
412,12,Foster Moreau,LV,TE53,8
413,12,James O'Shaughnessy,JAC,TE54,7
414,12,Gardner Minshew II,JAC,QB40,7
415,12,Dare Ogunbowale,JAC,RB112,7
416,12,Kyle Juszczyk,SF,RB113,6
417,12,Greg Joseph,MIN,K34,7
418,12,Hunter Long,MIA,TE55,14
419,12,Tim Tebow,JAC,TE56,7
420,12,Maxx Williams,ARI,TE57,12
421,12,Dazz Newsome,CHI,WR145,10
422,12,Tucker McCann,TEN,K35,13
423,12,Darwin Thompson,KC,RB114,12
424,12,Frank Gore,NYJ,RB115,6
425,12,Mohamed Sanu,SF,WR146,6
426,12,Kelvin Harmon,WAS,WR147,9
